name,artist,text
Bogardan Firefiend,Terese Nielsen,"When Bogardan Firefiend dies, it deals 2 damage to target creature."
Cone of Flame,Chippy,"Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player."
Cryoclasm,Zoltan Boros & Gabor Szikszai,Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.
Demolish,Gary Ruddell,Destroy target artifact or land.
Dragon Roost,Jim Pavelec,{5}{R}{R}: Put a 5/5 red Dragon creature token with flying onto the battlefield. (It can't be blocked except by creatures with flying or reach.)
Duct Crawler,Stephen Daniele,{1}{R}: Target creature can't block Duct Crawler this turn.
Earth Elemental,Anthony S. Waters,
Firebreathing,Aleksi Briclot,Enchant creature\n{R}: Enchanted creature gets +1/+0 until end of turn.
Fists of the Anvil,Pete Venters,Target creature gets +4/+0 until end of turn.
Flamewave Invoker,Dave Dorman,{7}{R}: Flamewave Invoker deals 5 damage to target player.
Flowstone Slide,Chippy,All creatures get +X/-X until end of turn.
Furnace of Rath,John Matson,"If a source would deal damage to a creature or player, it deals double that damage to that creature or player instead."
Furnace Whelp,Matt Cavotta,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Furnace Whelp gets +1/+0 until end of turn.
Goblin Elite Infantry,Robert Bliss,"Whenever Goblin Elite Infantry blocks or becomes blocked, it gets -1/-1 until end of turn."
Goblin King,Ron Spears,Other Goblin creatures get +1/+1 and have mountainwalk. (They can't be blocked as long as defending player controls a Mountain.)
Goblin Lore,D. Alexander Gregory,"Draw four cards, then discard three cards at random."
Goblin Piker,DiTerlizzi,
Goblin Sky Raider,Daren Bader,Flying (This creature can't be blocked except by creatures with flying or reach.)
Guerrilla Tactics,Dave Dorman,"Guerrilla Tactics deals 2 damage to target creature or player.\nWhen a spell or ability an opponent controls causes you to discard Guerrilla Tactics, Guerrilla Tactics deals 4 damage to target creature or player."
Hill Giant,Kev Walker,
Incinerate,Zoltan Boros & Gabor Szikszai,Incinerate deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.
"Kamahl, Pit Fighter",Kev Walker,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{T}: Kamahl, Pit Fighter deals 3 damage to target creature or player."
Lava Axe,Brian Snõddy,Lava Axe deals 5 damage to target player.
Lavaborn Muse,Brian Snõddy,"At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Lavaborn Muse deals 3 damage to him or her."
Lightning Elemental,Kev Walker,Haste (This creature can attack and {T} as soon as it comes under your control.)
Manabarbs,Jeff Miracola,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player."
Mogg Fanatic,Brom,Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.
Orcish Artillery,Jeff Miracola,{T}: Orcish Artillery deals 2 damage to target creature or player and 3 damage to you.
Prodigal Pyromancer,Jeremy Jarvis,{T}: Prodigal Pyromancer deals 1 damage to target creature or player.
Pyroclasm,John Avon,Pyroclasm deals 2 damage to each creature.
Rage Weaver,John Matson,{2}: Target black or green creature gains haste until end of turn. (It can attack and {T} this turn.)
Raging Goblin,Jeff Miracola,Haste (This creature can attack and {T} as soon as it comes under your control.)
Relentless Assault,Greg Hildebrandt,"Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase."
Rock Badger,Heather Hudson,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Scoria Wurm,Steve Firchow,"At the beginning of your upkeep, flip a coin. If you lose the flip, return Scoria Wurm to its owner's hand."
Seismic Assault,Greg Staples,Discard a land card: Seismic Assault deals 2 damage to target creature or player.
Shatterstorm,Paolo Parente,Destroy all artifacts. They can't be regenerated.
Shivan Dragon,Donato Giancola,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Shivan Hellkite,Kev Walker,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{R}: Shivan Hellkite deals 1 damage to target creature or player.
Shock,Jon Foster,Shock deals 2 damage to target creature or player.
Shunt,Greg Hildebrandt,Change the target of target spell with a single target.
Siege-Gang Commander,Christopher Moeller,"When Siege-Gang Commander enters the battlefield, put three 1/1 red Goblin creature tokens onto the battlefield.\n{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to target creature or player."
Smash,Paolo Parente,Destroy target artifact.\nDraw a card.
Soulblast,Jim Nelson,"As an additional cost to cast Soulblast, sacrifice all creatures you control.\nSoulblast deals damage to target creature or player equal to the total power of the sacrificed creatures."
Spark Elemental,John Avon,"Trample, haste (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker. This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Spark Elemental."
Spitting Earth,Michael Koelsch,Spitting Earth deals damage to target creature equal to the number of Mountains you control.
"Squee, Goblin Nabob",Greg Staples,"At the beginning of your upkeep, you may return Squee, Goblin Nabob from your graveyard to your hand."
Stun,Terese Nielsen,Target creature can't block this turn.\nDraw a card.
Sudden Impact,Wayne Reynolds,Sudden Impact deals damage to target player equal to the number of cards in that player's hand.
Threaten,Pete Venters,Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn. (It can attack and {T} this turn.)
Thundering Giant,Mark Zug,Haste (This creature can attack and {T} as soon as it comes under your control.)
Uncontrollable Anger,Kev Walker,Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature\nEnchanted creature gets +2/+2 and attacks each turn if able.
Viashino Runner,Steve White,Menace (This creature can't be blocked except by two or more creatures.)
Viashino Sandscout,Scott M. Fischer,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, return Viashino Sandscout to its owner's hand. (Return it only if it's on the battlefield.)"
Wall of Fire,Dan Dos Santos,Defender (This creature can't attack.)\n{R}: Wall of Fire gets +1/+0 until end of turn.
Warp World,Ron Spencer,"Each player shuffles all permanents he or she owns into his or her library, then reveals that many cards from the top of his or her library. Each player puts all artifact, creature, and land cards revealed this way onto the battlefield, then does the same for enchantment cards, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of his or her library."
Abundance,Rebecca Guay,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order."
Aggressive Urge,Christopher Moeller,Target creature gets +1/+1 until end of turn.\nDraw a card.
Avatar of Might,rk post,"If an opponent controls at least four more creatures than you, Avatar of Might costs {6} less to cast.\nTrample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)"
Birds of Paradise,Marcelo Vignali,Flying\n{T}: Add one mana of any color to your mana pool.
Blanchwood Armor,Paolo Parente,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature gets +1/+1 for each Forest you control.
Canopy Spider,Christopher Rush,Reach (This creature can block creatures with flying.)
Civic Wayfinder,Cyril Van Der Haegen,"When Civic Wayfinder enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library."
Commune with Nature,Lars Grant-West,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
Craw Wurm,Richard Sardinha,
Creeping Mold,Gary Ruddell,"Destroy target artifact, enchantment, or land."
Elven Riders,Darrell Riche,Elven Riders can't be blocked except by Walls and/or creatures with flying.
Elvish Berserker,Paolo Parente,"Whenever Elvish Berserker becomes blocked, it gets +1/+1 until end of turn for each creature blocking it."
Elvish Champion,D. Alexander Gregory,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.)
Elvish Piper,Rebecca Guay,"{G}, {T}: You may put a creature card from your hand onto the battlefield."
Enormous Baloth,Mark Tedin,
Femeref Archers,Zoltan Boros & Gabor Szikszai,{T}: Femeref Archers deals 4 damage to target attacking creature with flying.
Gaea's Herald,Jim Murray,Creature spells can't be countered.
Giant Growth,Matt Cavotta,Target creature gets +3/+3 until end of turn.
Giant Spider,Randy Gallegos,Reach (This creature can block creatures with flying.)
Grizzly Bears,D. J. Cleland-Hura,
Hunted Wumpus,Thomas M. Baxa,"When Hunted Wumpus enters the battlefield, each other player may put a creature card from his or her hand onto the battlefield."
Hurricane,John Howe,Hurricane deals X damage to each creature with flying and each player.
Joiner Adept,Heather Hudson,"Lands you control have ""{T}: Add one mana of any color to your mana pool."""
Karplusan Strider,Dan Scott,Karplusan Strider can't be the target of blue or black spells.
Kavu Climber,Rob Alexander,"When Kavu Climber enters the battlefield, draw a card."
Llanowar Elves,Kev Walker,{T}: Add {G} to your mana pool.
Llanowar Sentinel,Randy Gallegos,"When Llanowar Sentinel enters the battlefield, you may pay {1}{G}. If you do, search your library for a card named Llanowar Sentinel and put that card onto the battlefield. Then shuffle your library."
Lure,D. Alexander Gregory,Enchant creature\nAll creatures able to block enchanted creature do so.
Might of Oaks,Jeremy Jarvis,Target creature gets +7/+7 until end of turn.
Might Weaver,Larry Elmore,"{2}: Target red or white creature gains trample until end of turn. (If the creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)"
"Mirri, Cat Warrior",Daren Bader,"First strike, forestwalk, vigilance (This creature deals combat damage before creatures without first strike, it can't be blocked as long as defending player controls a Forest, and attacking doesn't cause this creature to tap.)"
"Molimo, Maro-Sorcerer",Mark Zug,"Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)\nMolimo, Maro-Sorcerer's power and toughness are each equal to the number of lands you control."
Natural Spring,Jeffrey R. Busch,Target player gains 8 life.
Naturalize,Tim Hildebrandt,Destroy target artifact or enchantment.
Overgrowth,Ron Spears,"Enchant land (Target a land as you cast this. This card enters the battlefield attached to that land.)\nWhenever enchanted land is tapped for mana, its controller adds {G}{G} to his or her mana pool (in addition to the mana the land produces)."
Overrun,Carl Critchlow,Creatures you control get +3/+3 and gain trample until end of turn.
Pincher Beetles,Stephen Daniele,Shroud (This creature can't be the target of spells or abilities.)
Primal Rage,Brian Snõddy,"Creatures you control have trample. (If a creature you control would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)"
Quirion Dryad,Todd Lockwood,"Whenever you cast a white, blue, black, or red spell, put a +1/+1 counter on Quirion Dryad."
Rampant Growth,Steven Belledin,Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.
Recollect,Pete Venters,Return target card from your graveyard to your hand.
Regeneration,Jeremy Jarvis,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\n{G}: Regenerate enchanted creature. (The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Rhox,Mark Zug,"You may have Rhox assign its combat damage as though it weren't blocked.\n{2}{G}: Regenerate Rhox. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Root Maze,Rebecca Guay,Artifacts and lands enter the battlefield tapped.
Rootwalla,Roger Raupp,{1}{G}: Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.
Rushwood Dryad,Todd Lockwood,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Scion of the Wild,Kev Walker,Scion of the Wild's power and toughness are each equal to the number of creatures you control.
Seedborn Muse,Adam Rex,Untap all permanents you control during each other player's untap step.
Skyshroud Ranger,Mark Tedin,{T}: You may put a land card from your hand onto the battlefield. Activate this ability only any time you could cast a sorcery.
Spined Wurm,Carl Critchlow,
Stalking Tiger,Terese Nielsen,Stalking Tiger can't be blocked by more than one creature.
Stampeding Wildebeests,Randy Gallegos,"Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)\nAt the beginning of your upkeep, return a green creature you control to its owner's hand."
Sylvan Basilisk,Steven Belledin,"Whenever Sylvan Basilisk becomes blocked by a creature, destroy that creature."
Sylvan Scrying,Scott M. Fischer,"Search your library for a land card, reveal it, and put it into your hand. Then shuffle your library."
Tangle Spider,Terese Nielsen,Flash (You may cast this spell any time you could cast an instant.)\nReach (This creature can block creatures with flying.)
Treetop Bracers,Heather Hudson,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature gets +1/+1 and can't be blocked except by creatures with flying.
Troll Ascetic,Puddnhead,Hexproof (This creature can't be the target of spells or abilities your opponents control.)\n{1}{G}: Regenerate Troll Ascetic.
Upwelling,Chippy,Mana pools don't empty as steps and phases end.
Verdant Force,DiTerlizzi,"At the beginning of each upkeep, put a 1/1 green Saproling creature token onto the battlefield."
Viridian Shaman,Scott M. Fischer,"When Viridian Shaman enters the battlefield, destroy target artifact."
Wall of Wood,Rebecca Guay,Defender (This creature can't attack.)
Yavimaya Enchantress,Terese Nielsen,Yavimaya Enchantress gets +1/+1 for each enchantment on the battlefield.
Angel's Feather,Alan Pollack,"Whenever a player casts a white spell, you may gain 1 life."
Bottle Gnomes,Ben Thompson,Sacrifice Bottle Gnomes: You gain 3 life.
Chimeric Staff,Michael Sutfin,{X}: Chimeric Staff becomes an X/X Construct artifact creature until end of turn.
Chromatic Star,Alex Horley-Orlandelli,"{1}, {T}, Sacrifice Chromatic Star: Add one mana of any color to your mana pool.\nWhen Chromatic Star is put into a graveyard from the battlefield, draw a card."
Citanul Flute,Greg Hildebrandt,"{X}, {T}: Search your library for a creature card with converted mana cost X or less, reveal it, and put it into your hand. Then shuffle your library."
Coat of Arms,Scott M. Fischer,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)"
Colossus of Sardia,Greg Staples,Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)\nColossus of Sardia doesn't untap during your untap step.\n{9}: Untap Colossus of Sardia. Activate this ability only during your upkeep.
Composite Golem,Mark Tedin,Sacrifice Composite Golem: Add {W}{U}{B}{R}{G} to your mana pool.
Crucible of Worlds,Ron Spencer,You may play land cards from your graveyard.
Demon's Horn,Alan Pollack,"Whenever a player casts a black spell, you may gain 1 life."
Doubling Cube,Mark Tedin,"{3}, {T}: Double the amount of each type of mana in your mana pool."
Dragon's Claw,Alan Pollack,"Whenever a player casts a red spell, you may gain 1 life."
Fountain of Youth,Dan Scott,"{2}, {T}: You gain 1 life."
The Hive,Ron Spencer,"{5}, {T}: Put a 1/1 colorless Insect artifact creature token with flying named Wasp onto the battlefield. (It can't be blocked except by creatures with flying or reach.)"
Howling Mine,Ralph Horsley,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card."
Icy Manipulator,Matt Cavotta,"{1}, {T}: Tap target artifact, creature, or land."
Jayemdae Tome,Donato Giancola,"{4}, {T}: Draw a card."
Juggernaut,Arnie Swekel,Juggernaut attacks each turn if able.\nJuggernaut can't be blocked by Walls.
Kraken's Eye,Alan Pollack,"Whenever a player casts a blue spell, you may gain 1 life."
Legacy Weapon,Terese Nielsen,"{W}{U}{B}{R}{G}: Exile target permanent.\nIf Legacy Weapon would be put into a graveyard from anywhere, reveal Legacy Weapon and shuffle it into its owner's library instead."
Leonin Scimitar,Doug Chaffee,Equipped creature gets +1/+1.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Loxodon Warhammer,Jeremy Jarvis,Equipped creature gets +3/+0 and has trample and lifelink.\nEquip {3}
Mantis Engine,John Zeleznik,{2}: Mantis Engine gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)\n{2}: Mantis Engine gains first strike until end of turn. (It deals combat damage before creatures without first strike.)
Millstone,John Avon,"{2}, {T}: Target player puts the top two cards of his or her library into his or her graveyard."
Mind Stone,Adam Rex,"{T}: Add {C} to your mana pool.\n{1}, {T}, Sacrifice Mind Stone: Draw a card."
Ornithopter,Dana Knutson,Flying (This creature can't be blocked except by creatures with flying or reach.)
Phyrexian Vault,Hannibal King,"{2}, {T}, Sacrifice a creature: Draw a card."
Pithing Needle,Pete Venters,"As Pithing Needle enters the battlefield, name a card.\nActivated abilities of sources with the chosen name can't be activated unless they're mana abilities."
Platinum Angel,Brom,Flying\nYou can't lose the game and your opponents can't win the game.
Razormane Masticore,Jim Murray,"First strike (This creature deals combat damage before creatures without first strike.)\nAt the beginning of your upkeep, sacrifice Razormane Masticore unless you discard a card.\nAt the beginning of your draw step, you may have Razormane Masticore deal 3 damage to target creature."
Rod of Ruin,Mark Zug,"{3}, {T}: Rod of Ruin deals 1 damage to target creature or player."
Sculpting Steel,Heather Hudson,You may have Sculpting Steel enter the battlefield as a copy of any artifact on the battlefield.
Spellbook,Andrew Goldhawk,You have no maximum hand size.
Steel Golem,Donato Giancola,You can't cast creature spells.
Whispersilk Cloak,Luca Zontini,Equipped creature can't be blocked and has shroud. (It can't be the target of spells or abilities.)\nEquip {2}
Wurm's Tooth,Alan Pollack,"Whenever a player casts a green spell, you may gain 1 life."
Adarkar Wastes,John Avon,{T}: Add {C} to your mana pool.\n{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.
Battlefield Forge,Darrell Riche,{T}: Add {C} to your mana pool.\n{T}: Add {R} or {W} to your mana pool. Battlefield Forge deals 1 damage to you.
Brushland,Scott Bailey,{T}: Add {C} to your mana pool.\n{T}: Add {G} or {W} to your mana pool. Brushland deals 1 damage to you.
Caves of Koilos,Jim Nelson,{T}: Add {C} to your mana pool.\n{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.
Faerie Conclave,Stephan Martiniere,Faerie Conclave enters the battlefield tapped.\n{T}: Add {U} to your mana pool.\n{1}{U}: Faerie Conclave becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land.
Forbidding Watchtower,Aleksi Briclot,Forbidding Watchtower enters the battlefield tapped.\n{T}: Add {W} to your mana pool.\n{1}{W}: Forbidding Watchtower becomes a 1/5 white Soldier creature until end of turn. It's still a land.
Ghitu Encampment,John Avon,Ghitu Encampment enters the battlefield tapped.\n{T}: Add {R} to your mana pool.\n{1}{R}: Ghitu Encampment becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. (It deals combat damage before creatures without first strike.)
Karplusan Forest,John Avon,{T}: Add {C} to your mana pool.\n{T}: Add {R} or {G} to your mana pool. Karplusan Forest deals 1 damage to you.
Llanowar Wastes,Rob Alexander,{T}: Add {C} to your mana pool.\n{T}: Add {B} or {G} to your mana pool. Llanowar Wastes deals 1 damage to you.
Quicksand,Roger Raupp,"{T}: Add {C} to your mana pool.\n{T}, Sacrifice Quicksand: Target attacking creature without flying gets -1/-2 until end of turn."
Shivan Reef,Rob Alexander,{T}: Add {C} to your mana pool.\n{T}: Add {U} or {R} to your mana pool. Shivan Reef deals 1 damage to you.
Spawning Pool,Nils Hamm,"Spawning Pool enters the battlefield tapped.\n{T}: Add {B} to your mana pool.\n{1}{B}: Spawning Pool becomes a 1/1 black Skeleton creature with ""{B}: Regenerate this creature"" until end of turn. It's still a land. (If it regenerates, the next time it would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Sulfurous Springs,Rob Alexander,{T}: Add {C} to your mana pool.\n{T}: Add {B} or {R} to your mana pool. Sulfurous Springs deals 1 damage to you.
Terramorphic Expanse,Dan Scott,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library."
Treetop Village,Rob Alexander,"Treetop Village enters the battlefield tapped.\n{T}: Add {G} to your mana pool.\n{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (If it would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)"
Underground River,Andrew Goldhawk,{T}: Add {C} to your mana pool.\n{T}: Add {U} or {B} to your mana pool. Underground River deals 1 damage to you.
Yavimaya Coast,Anthony S. Waters,{T}: Add {C} to your mana pool.\n{T}: Add {G} or {U} to your mana pool. Yavimaya Coast deals 1 damage to you.
Plains,Rob Alexander,
Plains,John Avon,
Plains,Greg Staples,
Plains,Richard Wright,
Island,Donato Giancola,
Island,John Avon,
Island,Martina Pilcerova,
Island,Stephan Martiniere,
Swamp,John Avon,
Swamp,Ron Spencer,
Swamp,Jim Nelson,
Swamp,Richard Wright,
Mountain,John Avon,
Mountain,Glen Angus,
Mountain,John Avon,
Mountain,Stephan Martiniere,
Forest,Anthony S. Waters,
Forest,John Avon,
Forest,Rob Alexander,
Forest,Stephan Martiniere,
